"Закарпатська область",Ужгород,"Ужгород, філіал 2","м Ужгород, вул. Болгарська, 3
","48.594, 22.3014338","Пн-пт с 8:00-17:00",https://avmg.com.ua/metallobaza/zakarpatie-obl/uzhgorod/uzhgorod-filial-2/,,
"Одеська область",Одеса,"Одеса, металобаза 3","м Одеса, Овідіопольський р-н, вул. Академіка Вільямса, 86
","46.4846, 30.7326000","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/odessa-obl/odessa/odessa-metallobaza-3/
"Чернівецька область",Чернівці,"Чернівці, металобаза 3","м Чернівці, вул. Коломийська, 4а
","48.3297, 25.9120640","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/chernovtsy-obl/chernovtsy/chernovtsy-metallobaza-3/,,
"Львівська область",Броди,"Броди, металобаза 2","м.Броди, вул. Йозефа Рота, 50","50.0717, 25.141985","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/lvov-obl/brody/brody-metallobaza-2/,,
"Одеська область",Біляївка,"Біляївка, металлобаза","м. Біляївка, вул. Леніна, 217-А","46.4752, 30.215922","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/odessa-obl/belyaevka/belyaevka-metallobaza/,"+380672080093, +380673535645",
"Чернівецька область",Ширівці,"Ширівці, металобаза","с. Ширівці, вул. Новоселицька, 12а
","48.4257, 26.298388","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/chernovtsy-obl/shirovtsy/shirovtsy-metallobaza/,,
"Одеська область",Болград,"Болград, металобаза","м. Болград, вул. Ізмаїльська, 81 (колишня вул. Жовтнева)","45.6776, 28.624826","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/odessa-obl/bolgrad/bolgrad-metallobaza/,"+380676930643, +380676221933",
"Черкаська область",Шпола,"Шпола, металобаза 2","м. Шпола, вул. Таранцев, 20
","49.0131, 31.3915341","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/cherkassy-obl/shpola/shpola-metallobaza-2/,,
"Київськая область","Софіївська Борщагівка","Софіївська Борщагівка, металобаза","Київська обл., С Софіївська Борщагівка, вул. Садова, 48А
","50.4236, 30.3617117","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/kiev-obl/sofievskaya-borshchagovka/sofievskaya-borshchagovka-metallobaza/,"+380675409878, +380672301545",
"Київськая область",Циблі,"Циблі, металобаза","с. Циблі, Переяслав-Хмельницький р-н, вул. Шевченка, 2а
","49.9868, 31.5658","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/kiev-obl/tsibli/tsibli/,"+380675029168, +380676102820",
"Одеська область",Сичавка,"Сичавка, металобаза","с. Сичавка, вул. Хуторська, 1к","46.6451, 31.1054","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/odessa-obl/
"Вінницька область","Муровані Курилівці","Муровані Курилівці, металобаза","смт. Муровані Курилівці, вул. Комарова, 12-А","48.7106, 27.5441","Пн-пт с 8:00-17:00, Субота с 8:30-14:00",https://avmg.com.ua/metallobaza/vinnitsa-obl/murovanye-kurilovtsy/murovanye-kurilovtsy-metallobaza/,+380673718281,01720
